trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,7,j,high,True,1049.7092858550209
task,practice,magnitude,7,,,False,
task,practice,magnitude,3,f,low,True,663.0399745390821
task,practice,magnitude,6,j,high,True,1040.7505870113193
task,practice,magnitude,9,j,high,True,627.4592591016462
task,practice,magnitude,7,j,high,True,534.3979780979714
task,practice,magnitude,7,j,high,True,231.70644979054538
task,practice,magnitude,2,f,low,True,645.5346467575891
task,practice,magnitude,4,f,low,True,620.9526740182854
task,practice,magnitude,1,f,low,True,555.1674963847823
task,experiment,magnitude,3,f,low,True,461.2012467952295
task,experiment,parity,9,j,odd,True,659.9496634311599
task,experiment,magnitude,9,j,high,True,541.5806257859253
task,experiment,parity,8,f,even,True,498.4446190034978
task,experiment,magnitude,8,j,high,True,209.50940557887327
task,experiment,parity,8,f,even,True,456.4011873796717
task,experiment,magnitude,7,f,low,False,420.17715276402043
task,experiment,parity,8,f,even,True,403.6916949643598
task,experiment,magnitude,6,j,high,True,634.9560943930977
task,experiment,parity,8,f,even,True,1197.455533261804
task,experiment,magnitude,9,j,high,True,444.3804134413429
task,experiment,parity,4,f,even,True,527.860915120381
task,experiment,magnitude,4,f,low,True,631.9919711342936
task,experiment,parity,3,j,odd,True,613.6981507835153
task,experiment,magnitude,3,f,low,True,425.96042180492077
task,experiment,parity,9,j,odd,True,587.9797325041371
task,experiment,magnitude,6,j,high,True,429.52696722529566
task,experiment,parity,1,j,odd,True,527.1419492909343
task,experiment,magnitude,6,f,low,False,1184.708528636662
task,experiment,parity,4,f,even,True,532.6870176993649
task,experiment,magnitude,9,j,high,True,200.68310162038074
task,experiment,parity,2,f,even,True,924.1791064092166
task,experiment,magnitude,7,j,high,True,571.8678840178612
task,experiment,parity,9,j,odd,True,224.93002418879362
task,experiment,magnitude,1,f,low,True,1155.2583382916364
task,experiment,parity,9,,,False,
task,experiment,magnitude,2,,,False,
task,experiment,parity,4,f,even,True,527.433495280276
task,experiment,magnitude,2,f,low,True,240.06997704185935
task,experiment,parity,3,j,odd,True,531.9209156868624
task,experiment,magnitude,1,j,high,False,482.6987589812833
task,experiment,parity,6,j,odd,False,457.2840322198016
task,experiment,magnitude,2,f,low,True,465.9906915864981
task,experiment,parity,2,f,even,True,554.4690343154655
task,experiment,magnitude,6,j,high,True,637.4190386632499
task,experiment,parity,2,f,even,True,207.58855327197838
task,experiment,magnitude,6,j,high,True,160.15593336821902
task,experiment,parity,3,j,odd,True,629.5933792732284
task,experiment,magnitude,9,j,high,True,410.59258684259345
task,experiment,parity,7,j,odd,True,664.3652902555832
questionnaire,,,,"{""item1"":1,""item2"":1,""item3"":3,""item4"":1,""item5"":3,""item6"":1,""item7"":1,""item8"":4,""item9"":3,""item10"":0}",,,
