trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,4,f,low,True,1084.0544973331343
task,practice,magnitude,6,j,high,True,994.8156264742909
task,practice,magnitude,3,f,low,True,933.928606849009
task,practice,magnitude,8,f,low,False,971.8411749769006
task,practice,magnitude,4,f,low,True,514.4573141224691
task,practice,magnitude,4,f,low,True,616.3563230787416
task,practice,magnitude,7,j,high,True,605.0765817540997
task,practice,magnitude,4,f,low,True,1152.253159224931
task,practice,magnitude,3,f,low,True,607.8468691502791
task,practice,magnitude,1,f,low,True,464.03801959253326
task,experiment,magnitude,2,f,low,True,657.1899509162077
task,experiment,parity,3,j,odd,True,499.9220992799812
task,experiment,magnitude,6,,,False,
task,experiment,parity,1,j,odd,True,230.2746328280676
task,experiment,magnitude,2,f,low,True,644.6645951615303
task,experiment,parity,9,f,even,False,952.396003959567
task,experiment,magnitude,9,j,high,True,697.7074182058611
task,experiment,parity,2,f,even,True,626.1078487587606
task,experiment,magnitude,7,j,high,True,219.84908098358557
task,experiment,parity,6,f,even,True,470.9622630863699
task,experiment,magnitude,4,f,low,True,547.8441670148724
task,experiment,parity,4,f,even,True,429.9375133290249
task,experiment,magnitude,4,j,high,False,1079.7974956112887
task,experiment,parity,9,j,odd,True,222.9328139149331
task,experiment,magnitude,7,j,high,True,579.7375717920056
task,experiment,parity,4,f,even,True,595.5142360376361
task,experiment,magnitude,6,j,high,True,612.912393410002
task,experiment,parity,3,j,odd,True,617.623749987753
task,experiment,magnitude,2,f,low,True,585.0574184925712
task,experiment,parity,6,f,even,True,459.10066259823327
task,experiment,magnitude,9,j,high,True,1070.6488462621364
task,experiment,parity,7,j,odd,True,440.2936990926382
task,experiment,magnitude,2,f,low,True,160.23584358840307
task,experiment,parity,1,j,odd,True,563.6329707290502
task,experiment,magnitude,4,f,low,True,577.5488854652623
task,experiment,parity,2,f,even,True,229.86147656603106
task,experiment,magnitude,7,j,high,True,414.8629414633761
task,experiment,parity,9,j,odd,True,507.2141287822428
task,experiment,magnitude,3,f,low,True,659.9224723888537
task,experiment,parity,2,f,even,True,559.313200518554
task,experiment,magnitude,4,f,low,True,407.8167797708329
task,experiment,parity,3,j,odd,True,226.1062463390786
task,experiment,magnitude,1,f,low,True,219.2997678966951
task,experiment,parity,7,j,odd,True,499.08373668211664
task,experiment,magnitude,9,,,False,
task,experiment,parity,4,f,even,True,627.5829141542586
task,experiment,magnitude,7,j,high,True,450.87217457490516
task,experiment,parity,8,f,even,True,416.6601178341119
task,experiment,magnitude,7,f,low,False,687.7762882119084
task,experiment,parity,4,f,even,True,444.7635808713626
questionnaire,,,,"{""item1"":0,""item2"":3,""item3"":3,""item4"":0,""item5"":2,""item6"":1,""item7"":0,""item8"":4,""item9"":0,""item10"":4}",,,
