trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,6,j,high,True,630.848643930694
task,practice,magnitude,7,j,high,True,685.2442983121329
task,practice,magnitude,3,f,low,True,511.6934890677143
task,practice,magnitude,2,f,low,True,538.1117680034351
task,practice,magnitude,3,f,low,True,601.9899012924423
task,practice,magnitude,4,f,low,True,505.26404102046956
task,practice,magnitude,3,f,low,True,473.26313617575136
task,practice,magnitude,4,f,low,True,959.2574470595724
task,practice,magnitude,8,j,high,True,684.3954031570365
task,practice,magnitude,8,j,high,True,534.333577457042
task,experiment,magnitude,3,f,low,True,624.4257750714895
task,experiment,parity,1,j,odd,True,699.667835857672
task,experiment,magnitude,1,f,low,True,1142.118458587217
task,experiment,parity,8,f,even,True,434.3600982427805
task,experiment,magnitude,4,j,high,False,682.3113857676726
task,experiment,parity,8,f,even,True,161.20025008540657
task,experiment,magnitude,7,j,high,True,649.9139887428711
task,experiment,parity,1,f,even,False,526.7217090725021
task,experiment,magnitude,6,j,high,True,452.6703509148247
task,experiment,parity,2,f,even,True,211.85993571542787
task,experiment,magnitude,6,j,high,True,985.7759037909726
task,experiment,parity,8,f,even,True,563.9598345506759
task,experiment,magnitude,7,j,high,True,606.7413797762081
task,experiment,parity,8,j,odd,False,506.6174571482221
task,experiment,magnitude,4,f,low,True,698.5649795675713
task,experiment,parity,7,f,even,False,466.3635373948535
task,experiment,magnitude,1,f,low,True,669.9589900509538
task,experiment,parity,6,j,odd,False,692.682419574644
task,experiment,magnitude,3,f,low,True,247.8772474895768
task,experiment,parity,1,f,even,False,440.77288453095343
task,experiment,magnitude,8,j,high,True,1106.4202422648195
task,experiment,parity,7,j,odd,True,699.6486160913392
task,experiment,magnitude,1,f,low,True,694.4164037925325
task,experiment,parity,6,f,even,True,1081.0543980899133
task,experiment,magnitude,7,f,low,False,964.0047279865229
task,experiment,parity,3,j,odd,True,169.9023702923376
task,experiment,magnitude,7,j,high,True,626.2025240906531
task,experiment,parity,4,f,even,True,184.1771982900608
task,experiment,magnitude,7,j,high,True,547.2046858177264
task,experiment,parity,2,f,even,True,435.0581278626196
task,experiment,magnitude,3,f,low,True,512.0878747233211
task,experiment,parity,2,j,odd,False,677.5224226870349
task,experiment,magnitude,1,f,low,True,419.3673899914421
task,experiment,parity,9,j,odd,True,680.660245470116
task,experiment,magnitude,7,j,high,True,552.117605623254
task,experiment,parity,1,j,odd,True,635.4614452691642
task,experiment,magnitude,3,f,low,True,184.42368427477265
task,experiment,parity,9,j,odd,True,408.30263348906186
task,experiment,magnitude,9,j,high,True,1152.0934128136078
task,experiment,parity,6,f,even,True,451.51013189455216
questionnaire,,,,"{""item1"":1,""item2"":1,""item3"":0,""item4"":0,""item5"":3,""item6"":2,""item7"":0,""item8"":4,""item9"":3,""item10"":3}",,,
