trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,8,j,high,True,682.8783976799157
task,practice,magnitude,7,,,False,
task,practice,magnitude,1,f,low,True,1126.8778987866685
task,practice,magnitude,6,j,high,True,1135.029486476451
task,practice,magnitude,1,f,low,True,656.347951742609
task,practice,magnitude,6,j,high,True,553.0589809604506
task,practice,magnitude,8,j,high,True,400.59629271867556
task,practice,magnitude,1,f,low,True,1118.5816929303255
task,practice,magnitude,1,f,low,True,622.3423645385164
task,practice,magnitude,8,j,high,True,470.3959569795795
task,experiment,magnitude,4,f,low,True,1104.8426983273387
task,experiment,parity,1,j,odd,True,1074.8069996040972
task,experiment,magnitude,7,j,high,True,586.7961522085162
task,experiment,parity,4,f,even,True,564.8730819662514
task,experiment,magnitude,1,f,low,True,496.11365509908126
task,experiment,parity,9,j,odd,True,430.49839604919356
task,experiment,magnitude,9,j,high,True,445.02991169462325
task,experiment,parity,4,f,even,True,981.1033121365047
task,experiment,magnitude,7,j,high,True,649.8306191753921
task,experiment,parity,4,f,even,True,908.4124375627428
task,experiment,magnitude,9,j,high,True,1071.518377141086
task,experiment,parity,8,f,even,True,170.75919356185182
task,experiment,magnitude,9,j,high,True,594.7430666710957
task,experiment,parity,9,j,odd,True,485.4245131798891
task,experiment,magnitude,7,f,low,False,574.6628877740085
task,experiment,parity,6,f,even,True,565.7604886323802
task,experiment,magnitude,4,f,low,True,560.0294211813239
task,experiment,parity,7,j,odd,True,435.18735589343623
task,experiment,magnitude,1,f,low,True,610.344729959831
task,experiment,parity,2,f,even,True,627.7967200216036
task,experiment,magnitude,2,f,low,True,410.4594383639453
task,experiment,parity,3,j,odd,True,477.3792642231369
task,experiment,magnitude,4,f,low,True,595.4734677279766
task,experiment,parity,6,j,odd,False,698.103214024543
task,experiment,magnitude,6,f,low,False,541.2406855913109
task,experiment,parity,4,,,False,
task,experiment,magnitude,2,f,low,True,978.1103701156917
task,experiment,parity,9,j,odd,True,461.1458565938394
task,experiment,magnitude,9,j,high,True,1028.3072180367549
task,experiment,parity,8,f,even,True,417.7318653913476
task,experiment,magnitude,3,j,high,False,460.0953566304628
task,experiment,parity,1,j,odd,True,633.6490976861072
task,experiment,magnitude,9,j,high,True,686.8242582708931
task,experiment,parity,2,f,even,True,684.8906004478615
task,experiment,magnitude,8,j,high,True,649.0043846646968
task,experiment,parity,8,f,even,True,621.3445068473599
task,experiment,magnitude,3,f,low,True,473.82262546565437
task,experiment,parity,8,f,even,True,547.2789655316803
task,experiment,magnitude,9,j,high,True,511.4196438221618
task,experiment,parity,9,j,odd,True,595.9018226263717
questionnaire,,,,"{""item1"":3,""item2"":4,""item3"":4,""item4"":1,""item5"":1,""item6"":3,""item7"":0,""item8"":0,""item9"":3,""item10"":3}",,,
