trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,1,f,low,True,633.6328925646217
task,practice,magnitude,7,j,high,True,594.9935013516854
task,practice,magnitude,9,j,high,True,519.6684242192473
task,practice,magnitude,4,f,low,True,191.1291090662156
task,practice,magnitude,8,j,high,True,1111.721742332034
task,practice,magnitude,3,f,low,True,562.1656083895965
task,practice,magnitude,2,,,False,
task,practice,magnitude,9,j,high,True,483.80078907517213
task,practice,magnitude,1,f,low,True,921.5007923468133
task,practice,magnitude,2,f,low,True,164.01359387480747
task,experiment,magnitude,4,f,low,True,555.776554374414
task,experiment,parity,3,j,odd,True,680.0114235249209
task,experiment,magnitude,4,f,low,True,524.3454591994903
task,experiment,parity,6,,,False,
task,experiment,magnitude,6,j,high,True,171.06903498326778
task,experiment,parity,8,f,even,True,596.3710195537083
task,experiment,magnitude,8,f,low,False,405.6287366025003
task,experiment,parity,2,f,even,True,443.06543031504407
task,experiment,magnitude,9,j,high,True,695.4217949874596
task,experiment,parity,6,f,even,True,548.0647868478527
task,experiment,magnitude,9,j,high,True,633.7231444048612
task,experiment,parity,1,j,odd,True,581.6250169509675
task,experiment,magnitude,6,j,high,True,1110.9761860774597
task,experiment,parity,4,f,even,True,1155.5880064157345
task,experiment,magnitude,6,j,high,True,217.0770147756652
task,experiment,parity,1,j,odd,True,179.27628675694467
task,experiment,magnitude,2,j,high,False,564.8304580715491
task,experiment,parity,6,f,even,True,435.6233513822415
task,experiment,magnitude,6,j,high,True,238.17885080132476
task,experiment,parity,9,j,odd,True,638.3615419806396
task,experiment,magnitude,9,j,high,True,591.7595588351339
task,experiment,parity,3,f,even,False,223.3803079582877
task,experiment,magnitude,6,j,high,True,681.6831561909228
task,experiment,parity,2,f,even,True,1194.900529996441
task,experiment,magnitude,9,j,high,True,1140.1985470080008
task,experiment,parity,1,j,odd,True,1086.937107142894
task,experiment,magnitude,1,f,low,True,416.7458946809899
task,experiment,parity,6,f,even,True,233.22732773798674
task,experiment,magnitude,9,j,high,True,678.2041114769966
task,experiment,parity,8,f,even,True,906.9629854880644
task,experiment,magnitude,3,,,False,
task,experiment,parity,4,f,even,True,579.9015602628175
task,experiment,magnitude,1,j,high,False,577.7436183883123
task,experiment,parity,1,f,even,False,674.6836489414299
task,experiment,magnitude,2,f,low,True,431.2676279873469
task,experiment,parity,6,f,even,True,671.0159118239567
task,experiment,magnitude,3,f,low,True,1103.829078518002
task,experiment,parity,1,j,odd,True,642.489838989367
task,experiment,magnitude,1,j,high,False,426.9117441316944
task,experiment,parity,8,f,even,True,515.2559897501277
questionnaire,,,,"{""item1"":2,""item2"":3,""item3"":0,""item4"":0,""item5"":2,""item6"":1,""item7"":1,""item8"":null,""item9"":3,""item10"":3}",,,
