trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,9,j,high,True,609.5763776434547
task,practice,magnitude,6,j,high,True,409.92759710087535
task,practice,magnitude,9,j,high,True,415.9598273444567
task,practice,magnitude,8,j,high,True,408.2838341916545
task,practice,magnitude,1,f,low,True,683.1885424108184
task,practice,magnitude,7,j,high,True,588.5835879965804
task,practice,magnitude,8,j,high,True,663.39681235742
task,practice,magnitude,1,j,high,False,402.78716797246443
task,practice,magnitude,6,,,False,
task,practice,magnitude,6,j,high,True,515.437374336892
task,experiment,magnitude,1,f,low,True,686.9478928639849
task,experiment,parity,1,j,odd,True,680.5699267412028
task,experiment,magnitude,1,f,low,True,497.19828447380064
task,experiment,parity,6,f,even,True,584.2480871467707
task,experiment,magnitude,8,j,high,True,1024.0792776004905
task,experiment,parity,6,f,even,True,434.9538823880689
task,experiment,magnitude,9,j,high,True,515.1649418402419
task,experiment,parity,2,f,even,True,423.9143353739441
task,experiment,magnitude,1,f,low,True,1049.2534251530926
task,experiment,parity,6,f,even,True,1028.4880697699375
task,experiment,magnitude,9,j,high,True,509.98476875400183
task,experiment,parity,4,f,even,True,672.6872046919638
task,experiment,magnitude,4,j,high,False,178.49812779041326
task,experiment,parity,9,j,odd,True,1037.179674635362
task,experiment,magnitude,4,f,low,True,213.0692419490799
task,experiment,parity,6,f,even,True,503.15050366304285
task,experiment,magnitude,2,j,high,False,1075.0336898485389
task,experiment,parity,8,f,even,True,202.1070014825592
task,experiment,magnitude,3,f,low,True,489.22601384755876
task,experiment,parity,8,f,even,True,919.4070004713145
task,experiment,magnitude,1,f,low,True,565.0514908115894
task,experiment,parity,7,j,odd,True,940.3803834223289
task,experiment,magnitude,9,j,high,True,1094.8673041662291
task,experiment,parity,1,j,odd,True,1108.8876210614808
task,experiment,magnitude,2,f,low,True,560.2211791879897
task,experiment,parity,4,f,even,True,451.2097056572804
task,experiment,magnitude,4,f,low,True,428.95664248872566
task,experiment,parity,9,j,odd,True,554.118988902754
task,experiment,magnitude,3,f,low,True,480.11092515938077
task,experiment,parity,1,j,odd,True,499.4125229373565
task,experiment,magnitude,2,f,low,True,944.6698531985288
task,experiment,parity,2,f,even,True,980.726262038666
task,experiment,magnitude,8,j,high,True,461.63228491141916
task,experiment,parity,6,,,False,
task,experiment,magnitude,7,j,high,True,198.17659456136101
task,experiment,parity,3,j,odd,True,406.3514384433816
task,experiment,magnitude,1,j,high,False,508.0007187628613
task,experiment,parity,3,j,odd,True,687.5021759127601
task,experiment,magnitude,7,j,high,True,447.8250197660142
task,experiment,parity,1,j,odd,True,628.4268254208497
questionnaire,,,,"{""item1"":2,""item2"":3,""item3"":2,""item4"":2,""item5"":0,""item6"":1,""item7"":null,""item8"":1,""item9"":0,""item10"":1}",,,
