trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,9,j,high,True,164.51518676742919
task,practice,magnitude,4,f,low,True,488.3409233002254
task,practice,magnitude,3,f,low,True,573.8793662881843
task,practice,magnitude,1,f,low,True,608.8350993344184
task,practice,magnitude,7,j,high,True,400.2065184421382
task,practice,magnitude,2,j,high,False,662.6441858946514
task,practice,magnitude,6,j,high,True,467.712518156145
task,practice,magnitude,3,f,low,True,983.8307322618355
task,practice,magnitude,2,f,low,True,689.8434310600842
task,practice,magnitude,1,,,False,
task,experiment,magnitude,1,,,False,
task,experiment,parity,9,j,odd,True,653.1811993306233
task,experiment,magnitude,9,j,high,True,1118.2858870506834
task,experiment,parity,3,j,odd,True,565.0753183522967
task,experiment,magnitude,6,j,high,True,416.0589717101652
task,experiment,parity,1,j,odd,True,411.02300392040587
task,experiment,magnitude,6,j,high,True,165.10846644017624
task,experiment,parity,2,f,even,True,1080.140481323106
task,experiment,magnitude,6,j,high,True,494.48751893568425
task,experiment,parity,1,j,odd,True,537.1733254249071
task,experiment,magnitude,2,f,low,True,419.8472775305674
task,experiment,parity,7,j,odd,True,566.7739022369794
task,experiment,magnitude,1,f,low,True,157.91133166729642
task,experiment,parity,7,j,odd,True,584.4920552651337
task,experiment,magnitude,7,j,high,True,595.8938198133609
task,experiment,parity,4,f,even,True,590.621236806898
task,experiment,magnitude,3,f,low,True,175.7762679747542
task,experiment,parity,3,j,odd,True,595.2127119815306
task,experiment,magnitude,2,f,low,True,472.4449300591299
task,experiment,parity,9,j,odd,True,416.00218704730344
task,experiment,magnitude,7,j,high,True,538.2554250836289
task,experiment,parity,6,f,even,True,414.8429473562676
task,experiment,magnitude,1,f,low,True,599.5379890359588
task,experiment,parity,3,j,odd,True,617.3273724441766
task,experiment,magnitude,7,j,high,True,494.24417591811215
task,experiment,parity,7,j,odd,True,691.9875739953859
task,experiment,magnitude,7,j,high,True,524.1026049709029
task,experiment,parity,4,f,even,True,453.6400581506782
task,experiment,magnitude,2,f,low,True,514.2937802655367
task,experiment,parity,3,j,odd,True,533.3833914606807
task,experiment,magnitude,6,j,high,True,449.7231488006142
task,experiment,parity,4,f,even,True,505.2596478849284
task,experiment,magnitude,1,f,low,True,564.8145767511562
task,experiment,parity,8,f,even,True,150.49778130849018
task,experiment,magnitude,7,j,high,True,563.3606135603911
task,experiment,parity,8,f,even,True,920.8359703037312
task,experiment,magnitude,6,j,high,True,229.2771084617481
task,experiment,parity,7,j,odd,True,507.846749908166
task,experiment,magnitude,1,j,high,False,680.1678638062896
task,experiment,parity,7,j,odd,True,166.56373865963513
questionnaire,,,,"{""item1"":1,""item2"":4,""item3"":0,""item4"":4,""item5"":4,""item6"":0,""item7"":2,""item8"":3,""item9"":0,""item10"":0}",,,
