trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,3,f,low,True,648.861200312748
task,practice,magnitude,6,j,high,True,1120.4205926136035
task,practice,magnitude,7,j,high,True,1008.2394143985556
task,practice,magnitude,1,f,low,True,455.28925532823484
task,practice,magnitude,2,f,low,True,516.5400074831351
task,practice,magnitude,1,f,low,True,1109.658160393599
task,practice,magnitude,3,,,False,
task,practice,magnitude,3,f,low,True,463.4070387871123
task,practice,magnitude,6,j,high,True,487.5685601658364
task,practice,magnitude,3,f,low,True,545.5281929122499
task,experiment,magnitude,3,f,low,True,228.47841708297972
task,experiment,parity,4,f,even,True,654.6068773697327
task,experiment,magnitude,3,f,low,True,633.1556674549528
task,experiment,parity,1,j,odd,True,426.56508687001536
task,experiment,magnitude,6,f,low,False,187.79982205906413
task,experiment,parity,4,f,even,True,456.9064917613905
task,experiment,magnitude,3,f,low,True,433.09069056120273
task,experiment,parity,7,j,odd,True,560.3398766913238
task,experiment,magnitude,6,j,high,True,643.197102900569
task,experiment,parity,9,f,even,False,616.1706538470147
task,experiment,magnitude,8,j,high,True,624.6451129086244
task,experiment,parity,3,j,odd,True,456.39443481532936
task,experiment,magnitude,4,f,low,True,490.1262786805304
task,experiment,parity,8,f,even,True,1049.599636199927
task,experiment,magnitude,1,f,low,True,1112.8661927533587
task,experiment,parity,9,j,odd,True,411.52844703596827
task,experiment,magnitude,7,j,high,True,639.5424787327362
task,experiment,parity,9,f,even,False,474.44409250139273
task,experiment,magnitude,4,f,low,True,1054.599846937904
task,experiment,parity,8,f,even,True,1002.7861044338212
task,experiment,magnitude,3,f,low,True,689.0255846728569
task,experiment,parity,1,j,odd,True,556.010206735781
task,experiment,magnitude,3,f,low,True,676.8026516118146
task,experiment,parity,7,j,odd,True,191.78451830056426
task,experiment,magnitude,2,f,low,True,588.8831418195355
task,experiment,parity,2,f,even,True,444.9031418879393
task,experiment,magnitude,7,j,high,True,564.9064815700881
task,experiment,parity,9,j,odd,True,461.0774856278951
task,experiment,magnitude,1,j,high,False,422.8154096640703
task,experiment,parity,9,f,even,False,405.1744202388878
task,experiment,magnitude,9,f,low,False,594.3993925221309
task,experiment,parity,2,f,even,True,431.5726320410281
task,experiment,magnitude,1,f,low,True,462.5327835661334
task,experiment,parity,1,j,odd,True,521.254479153061
task,experiment,magnitude,9,j,high,True,609.3234981683063
task,experiment,parity,3,,,False,
task,experiment,magnitude,6,j,high,True,477.1999999415207
task,experiment,parity,7,j,odd,True,448.1702218481966
task,experiment,magnitude,9,j,high,True,676.4302703172311
task,experiment,parity,8,,,False,
questionnaire,,,,"{""item1"":4,""item2"":3,""item3"":1,""item4"":4,""item5"":2,""item6"":0,""item7"":2,""item8"":0,""item9"":4,""item10"":4}",,,
