trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,8,j,high,True,1155.6420006908684
task,practice,magnitude,6,j,high,True,553.0181501986435
task,practice,magnitude,1,f,low,True,453.2264729455819
task,practice,magnitude,8,j,high,True,651.0251815663236
task,practice,magnitude,9,j,high,True,646.076427370404
task,practice,magnitude,6,j,high,True,458.4971170531429
task,practice,magnitude,7,j,high,True,576.7058964216906
task,practice,magnitude,3,f,low,True,431.27790817581894
task,practice,magnitude,7,j,high,True,589.7496351689699
task,practice,magnitude,2,f,low,True,548.5759259185343
task,experiment,magnitude,2,f,low,True,648.8819274693725
task,experiment,parity,4,f,even,True,587.7593194432619
task,experiment,magnitude,8,j,high,True,428.64498385966647
task,experiment,parity,4,f,even,True,622.0211610088023
task,experiment,magnitude,1,f,low,True,494.21307592549596
task,experiment,parity,6,f,even,True,533.645280691429
task,experiment,magnitude,7,j,high,True,520.4053251528148
task,experiment,parity,7,j,odd,True,497.86827406847516
task,experiment,magnitude,2,f,low,True,668.9656859407326
task,experiment,parity,8,f,even,True,609.7136983114174
task,experiment,magnitude,4,j,high,False,613.6080845112688
task,experiment,parity,3,j,odd,True,443.06159886468583
task,experiment,magnitude,1,f,low,True,428.0082825532337
task,experiment,parity,2,f,even,True,419.2516464436923
task,experiment,magnitude,6,,,False,
task,experiment,parity,1,j,odd,True,1110.3913400937442
task,experiment,magnitude,6,j,high,True,665.6289224867865
task,experiment,parity,2,f,even,True,532.4714036545481
task,experiment,magnitude,9,f,low,False,688.296544507619
task,experiment,parity,4,j,odd,False,590.9836859765976
task,experiment,magnitude,2,f,low,True,692.7570938886388
task,experiment,parity,4,f,even,True,663.5319913367274
task,experiment,magnitude,1,f,low,True,668.8518893216659
task,experiment,parity,4,f,even,True,587.3500773879625
task,experiment,magnitude,6,j,high,True,525.9997059136557
task,experiment,parity,2,f,even,True,1179.6304751487787
task,experiment,magnitude,8,j,high,True,694.0402771186306
task,experiment,parity,7,,,False,
task,experiment,magnitude,8,j,high,True,684.0644897709877
task,experiment,parity,1,j,odd,True,551.7895567257438
task,experiment,magnitude,6,j,high,True,454.7145342850569
task,experiment,parity,6,f,even,True,683.257391417098
task,experiment,magnitude,9,j,high,True,163.00313555802563
task,experiment,parity,2,f,even,True,523.8302024782989
task,experiment,magnitude,1,f,low,True,644.6764944425186
task,experiment,parity,4,j,odd,False,518.5543125943609
task,experiment,magnitude,9,j,high,True,591.8055221324187
task,experiment,parity,8,f,even,True,680.6726573718909
task,experiment,magnitude,9,j,high,True,640.3055995817938
task,experiment,parity,2,j,odd,False,454.40361739807776
questionnaire,,,,"{""item1"":1,""item2"":1,""item3"":3,""item4"":4,""item5"":2,""item6"":2,""item7"":1,""item8"":3,""item9"":4,""item10"":2}",,,
