trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,7,j,high,True,527.5243094605539
task,practice,magnitude,1,j,high,False,501.13573732567426
task,practice,magnitude,7,j,high,True,600.4116102906253
task,practice,magnitude,1,f,low,True,243.50888641866692
task,practice,magnitude,8,j,high,True,503.53118559325566
task,practice,magnitude,8,j,high,True,608.0269398986832
task,practice,magnitude,4,f,low,True,197.63127436496467
task,practice,magnitude,4,f,low,True,178.89997178388208
task,practice,magnitude,1,f,low,True,455.77530356935114
task,practice,magnitude,7,j,high,True,554.2341648256479
task,experiment,magnitude,1,f,low,True,636.0795131468087
task,experiment,parity,8,f,even,True,666.6666226214941
task,experiment,magnitude,8,j,high,True,174.5746143730897
task,experiment,parity,9,f,even,False,455.38777977991066
task,experiment,magnitude,1,f,low,True,435.16235227614374
task,experiment,parity,9,,,False,
task,experiment,magnitude,4,f,low,True,406.2473148634894
task,experiment,parity,3,j,odd,True,911.2093524786962
task,experiment,magnitude,9,j,high,True,248.1034656147528
task,experiment,parity,6,f,even,True,563.5271334336971
task,experiment,magnitude,3,f,low,True,658.5476086878231
task,experiment,parity,9,j,odd,True,422.1087863963625
task,experiment,magnitude,2,f,low,True,563.3959211804067
task,experiment,parity,1,j,odd,True,172.44604276096481
task,experiment,magnitude,3,f,low,True,400.180688777997
task,experiment,parity,9,j,odd,True,621.5693006618354
task,experiment,magnitude,8,f,low,False,412.11659915209435
task,experiment,parity,1,j,odd,True,179.9064538301448
task,experiment,magnitude,1,f,low,True,613.9038415612217
task,experiment,parity,7,j,odd,True,632.8551749160553
task,experiment,magnitude,1,f,low,True,590.3828097911751
task,experiment,parity,7,j,odd,True,407.14479320773444
task,experiment,magnitude,7,j,high,True,475.49270848018136
task,experiment,parity,3,j,odd,True,520.5835363583362
task,experiment,magnitude,3,f,low,True,552.4140562207353
task,experiment,parity,2,f,even,True,1156.4893482898935
task,experiment,magnitude,6,j,high,True,536.9182432162388
task,experiment,parity,4,f,even,True,494.4326183555594
task,experiment,magnitude,6,j,high,True,234.90496731061864
task,experiment,parity,3,j,odd,True,195.28741051023516
task,experiment,magnitude,3,f,low,True,426.6455226703808
task,experiment,parity,2,j,odd,False,416.0282043477305
task,experiment,magnitude,7,j,high,True,460.60013309235563
task,experiment,parity,3,j,odd,True,177.13663845872938
task,experiment,magnitude,1,f,low,True,173.5699029511785
task,experiment,parity,4,j,odd,False,677.4502567379761
task,experiment,magnitude,6,,,False,
task,experiment,parity,6,f,even,True,428.415266826947
task,experiment,magnitude,4,f,low,True,463.5530907834281
task,experiment,parity,8,f,even,True,403.55260273852315
questionnaire,,,,"{""item1"":3,""item2"":1,""item3"":3,""item4"":1,""item5"":2,""item6"":3,""item7"":2,""item8"":0,""item9"":4,""item10"":1}",,,
