trialType,block,trial_type,stimulus,response,answer_meaning,correct,rt
task,practice,magnitude,7,j,high,True,605.8513095203283
task,practice,magnitude,1,f,low,True,496.163317010425
task,practice,magnitude,3,,,False,
task,practice,magnitude,8,j,high,True,238.09046595938617
task,practice,magnitude,8,j,high,True,665.3571917162683
task,practice,magnitude,4,f,low,True,164.0299914827628
task,practice,magnitude,2,f,low,True,1065.9090387002743
task,practice,magnitude,1,j,high,False,672.7350959578205
task,practice,magnitude,6,j,high,True,528.4344586592557
task,practice,magnitude,2,f,low,True,556.2634011465527
task,experiment,magnitude,8,j,high,True,522.849519275602
task,experiment,parity,9,j,odd,True,481.91215753612744
task,experiment,magnitude,7,j,high,True,206.58972169254474
task,experiment,parity,8,f,even,True,403.4569697857808
task,experiment,magnitude,7,f,low,False,615.2240060788231
task,experiment,parity,7,,,False,
task,experiment,magnitude,6,j,high,True,535.4460437887496
task,experiment,parity,9,j,odd,True,652.1678668461311
task,experiment,magnitude,8,j,high,True,698.4320337272733
task,experiment,parity,7,j,odd,True,1051.8495530239672
task,experiment,magnitude,4,f,low,True,693.5967677368031
task,experiment,parity,2,f,even,True,402.45447171786464
task,experiment,magnitude,4,f,low,True,490.87640133983666
task,experiment,parity,8,f,even,True,688.9708762334067
task,experiment,magnitude,7,f,low,False,549.9670807887112
task,experiment,parity,2,f,even,True,169.76015979999005
task,experiment,magnitude,8,j,high,True,445.4690729658057
task,experiment,parity,7,f,even,False,533.6318106504327
task,experiment,magnitude,1,f,low,True,171.34540997880273
task,experiment,parity,1,j,odd,True,545.4399934473279
task,experiment,magnitude,9,j,high,True,460.7091939222637
task,experiment,parity,9,j,odd,True,164.27333182261597
task,experiment,magnitude,1,f,low,True,654.5209936620727
task,experiment,parity,7,j,odd,True,505.6900194013794
task,experiment,magnitude,3,f,low,True,159.71685784300124
task,experiment,parity,7,j,odd,True,459.65320250676734
task,experiment,magnitude,8,f,low,False,547.2653854803362
task,experiment,parity,4,f,even,True,554.4526465817322
task,experiment,magnitude,7,j,high,True,650.744229572147
task,experiment,parity,1,j,odd,True,906.9121610900529
task,experiment,magnitude,8,j,high,True,434.8659635164981
task,experiment,parity,9,j,odd,True,644.9091965117109
task,experiment,magnitude,9,j,high,True,203.39913764082152
task,experiment,parity,2,j,odd,False,1083.832525498066
task,experiment,magnitude,8,j,high,True,589.0646810451755
task,experiment,parity,8,f,even,True,979.0498489792475
task,experiment,magnitude,7,j,high,True,629.4161532080274
task,experiment,parity,9,j,odd,True,400.3371922539973
task,experiment,magnitude,1,f,low,True,592.562196893085
task,experiment,parity,9,j,odd,True,433.9702833172944
questionnaire,,,,"{""item1"":4,""item2"":2,""item3"":1,""item4"":2,""item5"":2,""item6"":2,""item7"":4,""item8"":3,""item9"":2,""item10"":3}",,,
