trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,481.31,j,1,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,754.55,j,2,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,710.43,f,3,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,523.62,j,4,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,562.01,j,5,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,611.66,f,6,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,743.06,f,7,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,720.03,j,8,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,NA,NA,9,,stress,anxiety,serenity or anxiety,serenity,anxiety,NA,
iat,serenity | anxiety,562.58,j,10,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,235.1,f,11,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,785,f,12,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,690.57,j,13,,quiet,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,753.83,j,14,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,647.11,j,15,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,556.59,f,16,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,747.15,f,17,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,555.58,f,18,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,703.19,j,19,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,719.2,f,20,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,687.38,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,771.59,f,22,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,519.15,f,23,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.64,f,24,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,nature | school,1074.79,j,25,,campus,school,nature or school,nature,school,1,
iat,nature | school,603.91,f,26,,lake,nature,nature or school,nature,school,1,
iat,nature | school,603.39,f,27,,river,nature,nature or school,nature,school,1,
iat,nature | school,542.21,f,28,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,496.54,f,29,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,625.96,f,30,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,534.83,f,31,,forest,nature,nature or school,nature,school,1,
iat,nature | school,NA,NA,32,,exam,school,nature or school,nature,school,NA,
iat,nature | school,427.65,j,33,,grade,school,nature or school,nature,school,1,
iat,nature | school,652.68,j,34,,essay,school,nature or school,nature,school,1,
iat,nature | school,635.66,j,35,,homework,school,nature or school,nature,school,1,
iat,nature | school,574.6,f,36,,essay,school,nature or school,nature,school,0,
iat,nature | school,714.36,f,37,,river,nature,nature or school,nature,school,1,
iat,nature | school,804.47,j,38,,exam,school,nature or school,nature,school,1,
iat,nature | school,540.03,f,39,,lecture,school,nature or school,nature,school,0,
iat,nature | school,615.4,f,40,,essay,school,nature or school,nature,school,0,
iat,nature | school,525.54,f,41,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,797.02,j,42,,lecture,school,nature or school,nature,school,1,
iat,nature | school,522.24,f,43,,forest,nature,nature or school,nature,school,1,
iat,nature | school,480.58,j,44,,class,school,nature or school,nature,school,1,
iat,nature | school,650.69,j,45,,grade,school,nature or school,nature,school,1,
iat,nature | school,748.15,j,46,,essay,school,nature or school,nature,school,1,
iat,nature | school,657.73,j,47,,grade,school,nature or school,nature,school,1,
iat,nature | school,757.88,j,48,,teacher,school,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,543.57,f,49,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,679.15,f,50,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,518.11,f,51,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,544.33,j,52,,unease,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
