trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,651.92,f,1,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,513.44,f,2,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,538.43,f,3,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,728.57,j,4,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,653.15,j,5,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,544.46,f,6,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,495.1,j,7,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,832.13,j,8,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,617.28,f,9,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,424.59,f,10,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,876.66,f,11,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,972.89,j,12,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,604.48,f,13,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,762.99,j,14,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,905.7,f,15,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,580.61,j,16,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,478.55,f,17,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,450.66,f,18,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.13,j,19,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,620.75,j,20,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,504.31,f,21,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,642.57,j,22,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,540.38,f,23,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,554.69,f,24,,alarm,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,nature | school,598.78,j,25,,homework,school,nature or school,nature,school,1,
iat,nature | school,594.85,f,26,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,659.5,j,27,,exam,school,nature or school,nature,school,1,
iat,nature | school,522.16,f,28,,river,nature,nature or school,nature,school,1,
iat,nature | school,613.53,j,29,,homework,school,nature or school,nature,school,1,
iat,nature | school,600.32,f,30,,tree,nature,nature or school,nature,school,1,
iat,nature | school,538.98,j,31,,forest,nature,nature or school,nature,school,0,
iat,nature | school,345.06,f,32,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,880.98,f,33,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,727.26,j,34,,class,school,nature or school,nature,school,1,
iat,nature | school,614.44,f,35,,lake,nature,nature or school,nature,school,1,
iat,nature | school,733.22,f,36,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,648.76,f,37,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,760.82,j,38,,essay,school,nature or school,nature,school,1,
iat,nature | school,586.78,f,39,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,429.62,j,40,,lecture,school,nature or school,nature,school,1,
iat,nature | school,590.67,f,41,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,609.31,j,42,,grade,school,nature or school,nature,school,1,
iat,nature | school,757.94,f,43,,tree,nature,nature or school,nature,school,1,
iat,nature | school,483.97,j,44,,teacher,school,nature or school,nature,school,1,
iat,nature | school,730.88,f,45,,river,nature,nature or school,nature,school,1,
