trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,500.05,j,1,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,722.03,f,2,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,627.54,j,3,,gentle,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,642.26,f,4,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,447.1,j,5,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,471.12,f,6,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.81,j,7,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,465.65,f,8,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,574.7,j,9,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,751.66,f,10,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,636.63,f,11,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,463.2,f,12,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,520.55,j,13,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,535.41,j,14,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,703.95,f,15,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,525.9,f,16,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,579.53,j,17,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,406.12,j,18,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,577.66,j,19,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,787.85,j,20,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,572.41,j,21,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,602.87,j,22,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.82,j,23,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,615.28,j,24,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,589.71,f,25,,forest,nature,nature or school,nature,school,1,
iat,nature | school,468.41,j,26,,exam,school,nature or school,nature,school,1,
iat,nature | school,675.1,f,27,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,669.97,f,28,,forest,nature,nature or school,nature,school,1,
iat,nature | school,560.61,f,29,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,591.05,j,30,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,478.6,j,31,,grade,school,nature or school,nature,school,1,
iat,nature | school,346.61,f,32,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,634.6,j,33,,homework,school,nature or school,nature,school,1,
iat,nature | school,700.93,j,34,,grade,school,nature or school,nature,school,1,
iat,nature | school,719.85,f,35,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,562.32,f,36,,river,nature,nature or school,nature,school,1,
iat,nature | school,621.15,f,37,,tree,nature,nature or school,nature,school,1,
iat,nature | school,530.59,j,38,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,509.86,j,39,,campus,school,nature or school,nature,school,1,
iat,nature | school,582.06,j,40,,homework,school,nature or school,nature,school,1,
iat,nature | school,684.2,j,41,,class,school,nature or school,nature,school,1,
iat,nature | school,636.37,j,42,,campus,school,nature or school,nature,school,1,
iat,nature | school,646.47,j,43,,homework,school,nature or school,nature,school,1,
iat,nature | school,429.91,j,44,,campus,school,nature or school,nature,school,1,
iat,nature | school,824.67,j,45,,class,school,nature or school,nature,school,1,
iat,nature | school,786.88,f,46,,river,nature,nature or school,nature,school,1,
iat,nature | school,480.4,f,47,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,607.09,j,48,,teacher,school,nature or school,nature,school,1,
iat,nature or anxiety | school or serenity,679.8,f,49,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,726.29,j,50,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,425.63,f,51,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,751.78,f,52,,tension,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,580.79,j,53,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,439.2,j,54,,nervous,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,551.82,f,55,,meadow,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,626.74,f,56,,river,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,594.21,j,57,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,637.27,j,58,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,442.62,j,59,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,721.42,j,60,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,444.69,f,61,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,622.73,f,62,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,681.06,f,63,,panic,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,501.09,f,64,,unease,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,741.7,j,65,,gentle,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,643.15,j,66,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,777.22,j,67,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,596.1,j,68,,exam,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,657.74,j,69,,peace,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,859.39,f,70,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,650.61,j,71,,class,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,640.99,f,72,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,809.14,f,73,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,655.52,f,74,,ocean,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,794.97,f,75,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,896.54,j,76,,quiet,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,509.62,f,77,,fear,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,755.98,f,78,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,769.99,j,79,,soothe,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,752.59,j,80,,relax,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,760.4,f,81,,grade,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,865.64,j,82,,lecture,school or serenity,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,703.42,j,83,,worry,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,0,
iat,nature or anxiety | school or serenity,546.65,f,84,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,776.38,f,85,,forest,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
iat,nature or anxiety | school or serenity,708.31,f,86,,lake,nature or anxiety,nature or anxiety or school or serenity,nature or anxiety,school or serenity,1,
