trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,684.6,j,1,,class,school,nature or school,nature,school,1,
iat,nature | school,398.85,j,2,,grade,school,nature or school,nature,school,1,
iat,nature | school,440.77,j,3,,essay,school,nature or school,nature,school,1,
iat,nature | school,605.66,f,4,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,537.97,j,5,,class,school,nature or school,nature,school,1,
iat,nature | school,704.38,f,6,,river,nature,nature or school,nature,school,1,
iat,nature | school,719.85,f,7,,lake,nature,nature or school,nature,school,1,
iat,nature | school,508.17,j,8,,campus,school,nature or school,nature,school,1,
iat,nature | school,472.6,f,9,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,567.25,j,10,,campus,school,nature or school,nature,school,1,
iat,nature | school,705.86,f,11,,campus,school,nature or school,nature,school,0,
iat,nature | school,495.3,f,12,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,768.4,f,13,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,736.28,j,14,,teacher,school,nature or school,nature,school,1,
iat,nature | school,594.72,j,15,,exam,school,nature or school,nature,school,1,
iat,nature | school,682.1,j,16,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,373.36,f,17,,river,nature,nature or school,nature,school,1,
iat,nature | school,649.6,j,18,,essay,school,nature or school,nature,school,1,
iat,nature | school,458.67,j,19,,teacher,school,nature or school,nature,school,1,
iat,nature | school,594.12,f,20,,lake,nature,nature or school,nature,school,1,
iat,nature | school,709.95,j,21,,grade,school,nature or school,nature,school,1,
iat,nature | school,706.07,f,22,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,586.54,f,23,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,643.23,f,24,,ocean,nature,nature or school,nature,school,1,
iat,serenity | anxiety,743.34,f,25,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,608.41,j,26,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,547.6,j,27,,soothe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,634.12,j,28,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.26,j,29,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,487.49,j,30,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,698.49,f,31,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,652.4,f,32,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
