trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,529.18,f,1,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,424.58,j,2,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,726.17,j,3,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,463.28,j,4,,breathe,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,707.56,f,5,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,564.03,j,6,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.48,j,7,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,603.24,f,8,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,785.78,j,9,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,739.28,j,10,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,265.82,j,11,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,706.46,j,12,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,661.67,f,13,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,686.19,f,14,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,742.87,f,15,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,574.64,f,16,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,632.85,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,715.23,f,18,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,492.18,f,19,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.45,j,20,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,615.71,f,21,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,766.9,j,22,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,901.13,f,23,,nervous,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,544.86,f,24,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,676.11,f,25,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,607.19,f,26,,tree,nature,nature or school,nature,school,1,
iat,nature | school,560.71,f,27,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,445.18,j,28,,teacher,school,nature or school,nature,school,1,
iat,nature | school,709.71,j,29,,campus,school,nature or school,nature,school,1,
iat,nature | school,346.6,f,30,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,864.02,f,31,,essay,school,nature or school,nature,school,0,
iat,nature | school,679.02,f,32,,river,nature,nature or school,nature,school,1,
iat,nature | school,472.0,j,33,,essay,school,nature or school,nature,school,1,
iat,nature | school,713.28,j,34,,river,nature,nature or school,nature,school,0,
iat,nature | school,560.52,j,35,,class,school,nature or school,nature,school,1,
iat,nature | school,679.53,f,36,,lake,nature,nature or school,nature,school,1,
iat,nature | school,549.32,j,37,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,643.75,j,38,,homework,school,nature or school,nature,school,1,
