trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,363.46,f,1,,forest,nature,nature or school,nature,school,1,
iat,nature | school,594.37,j,2,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,716.59,f,3,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,481.6,j,4,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,494.02,f,5,,tree,nature,nature or school,nature,school,1,
iat,nature | school,569.37,j,6,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,778.51,j,7,,homework,school,nature or school,nature,school,1,
iat,nature | school,636.19,f,8,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,684.8,f,9,,forest,nature,nature or school,nature,school,1,
iat,nature | school,536.27,f,10,,forest,nature,nature or school,nature,school,1,
iat,nature | school,500.17,j,11,,teacher,school,nature or school,nature,school,1,
iat,nature | school,575.51,f,12,,lake,nature,nature or school,nature,school,1,
iat,nature | school,693.84,j,13,,essay,school,nature or school,nature,school,1,
iat,nature | school,644.13,j,14,,teacher,school,nature or school,nature,school,1,
iat,nature | school,488.33,j,15,,mountain,nature,nature or school,nature,school,0,
iat,nature | school,512.43,f,16,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,527.08,j,17,,exam,school,nature or school,nature,school,1,
iat,nature | school,602.88,j,18,,homework,school,nature or school,nature,school,1,
iat,nature | school,674.86,f,19,,campus,school,nature or school,nature,school,0,
iat,nature | school,531.91,j,20,,essay,school,nature or school,nature,school,1,
iat,nature | school,642.49,f,21,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,474.57,j,22,,lecture,school,nature or school,nature,school,1,
iat,nature | school,586.48,j,23,,grade,school,nature or school,nature,school,1,
iat,nature | school,695.74,j,24,,homework,school,nature or school,nature,school,1,
iat,serenity | anxiety,510.05,f,25,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.8,j,26,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,585.88,j,27,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,395.1,f,28,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,660.22,j,29,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,632.75,f,30,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,601.97,f,31,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,683.36,f,32,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,651.9,f,33,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,681.06,f,34,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,668.16,j,35,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.61,j,36,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,647.27,j,37,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,607.74,f,38,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,541.09,f,39,,alarm,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,619.78,f,40,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,552.17,j,41,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,683.9,f,42,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,466.83,f,43,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,466.19,f,44,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,598.5,j,45,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,561.49,j,46,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,532.72,j,47,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,544.73,f,48,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature or serenity | school or anxiety,572.93,j,49,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,602.12,f,50,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,740.13,f,51,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,403.7,j,52,,tension,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,476.54,f,53,,rest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,634.7,j,54,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,285.7,j,55,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,539.96,j,56,,class,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,639.95,j,57,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,485.67,j,58,,nervous,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,321.34,j,59,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,583.48,j,60,,worry,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
