trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,560.47,j,1,,exam,school,nature or school,nature,school,1,
iat,nature | school,461.79,j,2,,essay,school,nature or school,nature,school,1,
iat,nature | school,642.12,f,3,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,554.67,f,4,,forest,nature,nature or school,nature,school,1,
iat,nature | school,398.42,f,5,,tree,nature,nature or school,nature,school,1,
iat,nature | school,428.43,f,6,,lake,nature,nature or school,nature,school,1,
iat,nature | school,406.33,f,7,,forest,nature,nature or school,nature,school,1,
iat,nature | school,614.46,f,8,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,802.82,j,9,,teacher,school,nature or school,nature,school,1,
iat,nature | school,608.44,f,10,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,553.59,j,11,,exam,school,nature or school,nature,school,1,
iat,nature | school,656.41,j,12,,class,school,nature or school,nature,school,1,
iat,nature | school,673.16,f,13,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,557.37,f,14,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,541.99,j,15,,class,school,nature or school,nature,school,1,
iat,nature | school,612.71,j,16,,lake,nature,nature or school,nature,school,0,
iat,nature | school,582.29,j,17,,lake,nature,nature or school,nature,school,0,
iat,nature | school,572.25,j,18,,campus,school,nature or school,nature,school,1,
iat,nature | school,692.09,j,19,,lecture,school,nature or school,nature,school,1,
iat,nature | school,773.56,f,20,,lake,nature,nature or school,nature,school,1,
iat,nature | school,464.94,j,21,,grade,school,nature or school,nature,school,1,
iat,nature | school,492.16,j,22,,ocean,nature,nature or school,nature,school,0,
iat,nature | school,671.14,j,23,,campus,school,nature or school,nature,school,1,
iat,nature | school,640.78,f,24,,ocean,nature,nature or school,nature,school,1,
iat,serenity | anxiety,757.52,f,25,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,736.7,f,26,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,657.89,f,27,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,588.61,f,28,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,553.32,j,29,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,667.2,f,30,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,406.12,f,31,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,522.5,f,32,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,674.3,j,33,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,662.4,f,34,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,708.28,f,35,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
