trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,828.9,j,1,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,375.64,f,2,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,681.05,j,3,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,414.36,f,4,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,477.11,f,5,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,699.69,f,6,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,768.57,f,7,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,425.81,f,8,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,557.72,j,9,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,326.01,j,10,,rest,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,621.19,j,11,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,621.61,j,12,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,714.51,j,13,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,521.15,f,14,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,690.16,j,15,,relax,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,591.03,f,16,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,552.6,f,17,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,356.85,j,18,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,685.17,f,19,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,694.21,f,20,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,585.15,f,21,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,718.5,j,22,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,708.6,f,23,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,480.13,j,24,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,437.55,f,25,,river,nature,nature or school,nature,school,1,
iat,nature | school,715.6,j,26,,teacher,school,nature or school,nature,school,1,
iat,nature | school,658.91,j,27,,essay,school,nature or school,nature,school,1,
iat,nature | school,588.64,j,28,,class,school,nature or school,nature,school,1,
iat,nature | school,683.08,f,29,,lecture,school,nature or school,nature,school,0,
iat,nature | school,768.95,f,30,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,826.69,f,31,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,510.62,f,32,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,536.83,f,33,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,765.4,j,34,,breeze,nature,nature or school,nature,school,0,
iat,nature | school,698.57,j,35,,grade,school,nature or school,nature,school,1,
iat,nature | school,600.39,j,36,,lecture,school,nature or school,nature,school,1,
iat,nature | school,612.07,j,37,,class,school,nature or school,nature,school,1,
iat,nature | school,682.35,f,38,,river,nature,nature or school,nature,school,1,
iat,nature | school,601.25,j,39,,exam,school,nature or school,nature,school,1,
iat,nature | school,726.32,j,40,,teacher,school,nature or school,nature,school,1,
iat,nature | school,482.77,f,41,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,869.53,f,42,,lake,nature,nature or school,nature,school,1,
iat,nature | school,647.45,f,43,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,504.1,f,44,,river,nature,nature or school,nature,school,1,
iat,nature | school,472.1,f,45,,tree,nature,nature or school,nature,school,1,
iat,nature | school,617.51,f,46,,essay,school,nature or school,nature,school,0,
iat,nature | school,532.78,f,47,,river,nature,nature or school,nature,school,1,
iat,nature | school,535.26,j,48,,essay,school,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,539.14,f,49,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,408.49,f,50,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,607.32,j,51,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,544.89,j,52,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,573.75,f,53,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
