trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,569.45,j,1,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,660.45,j,2,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,839.08,j,3,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,616.27,j,4,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,534.24,j,5,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,595.61,f,6,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,506.4,f,7,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,565.23,j,8,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,592.66,f,9,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,641.51,f,10,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,524.75,f,11,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,456.77,j,12,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,493.19,j,13,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,510.6,f,14,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,527.35,f,15,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,429.45,j,16,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,473.29,f,17,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,658.96,f,18,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,717.62,j,19,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,888.84,f,20,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,623.56,f,21,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,606.12,j,22,,gentle,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,677.4,j,23,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,412.82,f,24,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,442.05,f,25,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,899.15,j,26,,class,school,nature or school,nature,school,1,
iat,nature | school,435.12,j,27,,essay,school,nature or school,nature,school,1,
iat,nature | school,573.74,j,28,,exam,school,nature or school,nature,school,1,
iat,nature | school,729.23,j,29,,teacher,school,nature or school,nature,school,1,
iat,nature | school,678.81,f,30,,forest,nature,nature or school,nature,school,1,
iat,nature | school,610.24,f,31,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,525.5,f,32,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,529.26,f,33,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,646.94,j,34,,exam,school,nature or school,nature,school,1,
iat,nature | school,705.23,j,35,,teacher,school,nature or school,nature,school,1,
iat,nature | school,551.52,f,36,,forest,nature,nature or school,nature,school,1,
iat,nature | school,714.69,f,37,,lake,nature,nature or school,nature,school,1,
iat,nature | school,563.44,f,38,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,575.38,f,39,,river,nature,nature or school,nature,school,1,
iat,nature | school,631.82,f,40,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,541.18,j,41,,exam,school,nature or school,nature,school,1,
iat,nature | school,705.96,f,42,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,416.28,f,43,,forest,nature,nature or school,nature,school,1,
iat,nature | school,660.76,j,44,,grade,school,nature or school,nature,school,1,
iat,nature | school,719.59,j,45,,campus,school,nature or school,nature,school,1,
iat,nature | school,518.97,f,46,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,770.18,f,47,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,572.56,j,48,,teacher,school,nature or school,nature,school,1,
iat,nature or serenity | school or anxiety,725.67,j,49,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,404.22,f,50,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,486.69,j,51,,panic,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,432.38,j,52,,grade,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,626.29,f,53,,tree,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,626.83,j,54,,campus,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,484.82,j,55,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,606.83,f,56,,river,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,423.05,f,57,,meadow,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,570.82,j,58,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,607.01,j,59,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,490.36,j,60,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,655.01,j,61,,fear,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,570.21,j,62,,homework,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,553.28,j,63,,essay,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,594.58,f,64,,breathe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,450.71,f,65,,relax,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,600.51,f,66,,mountain,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,724.52,j,67,,exam,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,632.15,f,68,,lake,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,452.72,f,69,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,833.85,f,70,,soothe,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,492.13,f,71,,forest,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,695.51,f,72,,peace,nature or serenity,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
iat,nature or serenity | school or anxiety,625.23,j,73,,alarm,school or anxiety,nature or serenity or school or anxiety,nature or serenity,school or anxiety,1,
