trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,660.18,f,1,,forest,nature,nature or school,nature,school,1,
iat,nature | school,642.97,f,2,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,580.29,f,3,,forest,nature,nature or school,nature,school,1,
iat,nature | school,533.89,j,4,,homework,school,nature or school,nature,school,1,
iat,nature | school,642.86,f,5,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,528.08,j,6,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,585.46,j,7,,lake,nature,nature or school,nature,school,0,
iat,nature | school,596.91,f,8,,tree,nature,nature or school,nature,school,1,
iat,nature | school,423.04,f,9,,forest,nature,nature or school,nature,school,1,
iat,nature | school,592.49,f,10,,class,school,nature or school,nature,school,0,
iat,nature | school,521.61,j,11,,homework,school,nature or school,nature,school,1,
iat,nature | school,441.01,j,12,,teacher,school,nature or school,nature,school,1,
iat,nature | school,865.78,f,13,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,646.04,f,14,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,763.47,j,15,,lecture,school,nature or school,nature,school,1,
iat,nature | school,927.15,j,16,,essay,school,nature or school,nature,school,1,
iat,nature | school,633.74,f,17,,lake,nature,nature or school,nature,school,1,
iat,nature | school,646.89,f,18,,forest,nature,nature or school,nature,school,1,
iat,nature | school,592.06,j,19,,class,school,nature or school,nature,school,1,
iat,nature | school,616.77,f,20,,forest,nature,nature or school,nature,school,1,
iat,nature | school,575.49,j,21,,teacher,school,nature or school,nature,school,1,
iat,nature | school,582.18,j,22,,teacher,school,nature or school,nature,school,1,
iat,nature | school,584.02,f,23,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,507.15,f,24,,breeze,nature,nature or school,nature,school,1,
iat,serenity | anxiety,502.46,j,25,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,575.1,f,26,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,659.1,j,27,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,611.68,f,28,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,513.46,f,29,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,549.25,f,30,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
