trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,625.92,f,1,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,642.35,j,2,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,507.06,j,3,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,678.44,f,4,,stress,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,609.38,f,5,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,651.95,f,6,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,750.82,f,7,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,493.23,j,8,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,494.18,j,9,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,695.33,j,10,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,707.96,j,11,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,587.27,j,12,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,448.53,j,13,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,719.81,j,14,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,481.68,f,15,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,629.08,f,16,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,475.71,f,17,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,718.65,f,18,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,423.43,f,19,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,481.0,j,20,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,657.6,f,21,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,650.22,j,22,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,763.95,j,23,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,650.78,f,24,,worry,anxiety,serenity or anxiety,serenity,anxiety,0,
