trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,602.43,j,1,,class,school,nature or school,nature,school,1,
iat,nature | school,437.26,f,2,,breeze,nature,nature or school,nature,school,1,
iat,nature | school,636.85,f,3,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,641.43,f,4,,forest,nature,nature or school,nature,school,1,
iat,nature | school,560.9,j,5,,essay,school,nature or school,nature,school,1,
iat,nature | school,625.66,f,6,,lecture,school,nature or school,nature,school,0,
iat,nature | school,745.56,f,7,,lake,nature,nature or school,nature,school,1,
iat,nature | school,590.57,f,8,,river,nature,nature or school,nature,school,1,
iat,nature | school,448.42,j,9,,teacher,school,nature or school,nature,school,1,
iat,nature | school,458.94,f,10,,campus,school,nature or school,nature,school,0,
iat,nature | school,718.24,j,11,,teacher,school,nature or school,nature,school,1,
iat,nature | school,579.99,j,12,,grade,school,nature or school,nature,school,1,
iat,nature | school,639.08,j,13,,lecture,school,nature or school,nature,school,1,
iat,nature | school,527.8,j,14,,teacher,school,nature or school,nature,school,1,
iat,nature | school,721.97,f,15,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,594.02,j,16,,campus,school,nature or school,nature,school,1,
iat,nature | school,698.23,j,17,,lecture,school,nature or school,nature,school,1,
iat,nature | school,777.44,f,18,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,663.58,f,19,,tree,nature,nature or school,nature,school,1,
iat,nature | school,686.47,j,20,,class,school,nature or school,nature,school,1,
iat,nature | school,509.57,f,21,,river,nature,nature or school,nature,school,1,
iat,nature | school,559.0,j,22,,grade,school,nature or school,nature,school,1,
iat,nature | school,623.01,j,23,,class,school,nature or school,nature,school,1,
iat,nature | school,443.21,j,24,,homework,school,nature or school,nature,school,1,
iat,serenity | anxiety,576.36,f,25,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,552.15,j,26,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,665.79,j,27,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.24,f,28,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,714.33,j,29,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,457.39,f,30,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,535.37,j,31,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,546.25,j,32,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,688.99,f,33,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,663.94,j,34,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,519.93,j,35,,peace,serenity,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,582.4,j,36,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,566.37,j,37,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,499.53,f,38,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,488.08,j,39,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,565.0,j,40,,stress,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,611.57,f,41,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,410.81,j,42,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,599.72,j,43,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.76,j,44,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
