trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,serenity | anxiety,547.67,f,1,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,623.07,f,2,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,572.34,f,3,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,562.04,j,4,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,744.56,f,5,,peace,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,555.8,j,6,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,568.41,j,7,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,759.3,f,8,,relax,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,771.5,f,9,,soothe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,513.6,j,10,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,509.87,f,11,,calm,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,496.25,f,12,,quiet,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,637.45,j,13,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,646.65,j,14,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,721.09,f,15,,panic,anxiety,serenity or anxiety,serenity,anxiety,0,
iat,serenity | anxiety,666.89,f,16,,gentle,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,508.66,j,17,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,817.53,j,18,,unease,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,768.42,j,19,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,821.99,j,20,,nervous,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,677.72,f,21,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,700.04,j,22,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,546.09,j,23,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,527.38,j,24,,worry,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,nature | school,486.04,f,25,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,606.06,f,26,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,517.16,j,27,,grade,school,nature or school,nature,school,1,
iat,nature | school,533.93,j,28,,meadow,nature,nature or school,nature,school,0,
iat,nature | school,718.03,f,29,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,644.78,j,30,,exam,school,nature or school,nature,school,1,
iat,nature | school,586.14,f,31,,lake,nature,nature or school,nature,school,1,
iat,nature | school,452.2,j,32,,essay,school,nature or school,nature,school,1,
iat,nature | school,500.65,f,33,,lecture,school,nature or school,nature,school,0,
iat,nature | school,743.8,f,34,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,468.85,j,35,,class,school,nature or school,nature,school,1,
iat,nature | school,656.59,j,36,,campus,school,nature or school,nature,school,1,
iat,nature | school,676.16,j,37,,exam,school,nature or school,nature,school,1,
iat,nature | school,569.66,j,38,,campus,school,nature or school,nature,school,1,
iat,nature | school,485.01,f,39,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,571.26,f,40,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,694.73,j,41,,essay,school,nature or school,nature,school,1,
iat,nature | school,450.79,f,42,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,805.7,j,43,,class,school,nature or school,nature,school,1,
iat,nature | school,495.89,j,44,,essay,school,nature or school,nature,school,1,
iat,nature | school,719.22,j,45,,forest,nature,nature or school,nature,school,0,
