trialType,block,rt,response,trial_index,time_elapsed,word,expectedCategory,expectedCategoryAsDisplayed,leftCategory,rightCategory,correct,question_order
iat,nature | school,364.07,j,1,,homework,school,nature or school,nature,school,1,
iat,nature | school,543.01,f,2,,teacher,school,nature or school,nature,school,0,
iat,nature | school,676.93,j,3,,teacher,school,nature or school,nature,school,1,
iat,nature | school,589.33,j,4,,lecture,school,nature or school,nature,school,1,
iat,nature | school,580.64,j,5,,grade,school,nature or school,nature,school,1,
iat,nature | school,543.79,j,6,,campus,school,nature or school,nature,school,1,
iat,nature | school,386.36,j,7,,homework,school,nature or school,nature,school,1,
iat,nature | school,593.31,f,8,,mountain,nature,nature or school,nature,school,1,
iat,nature | school,334.64,f,9,,forest,nature,nature or school,nature,school,1,
iat,nature | school,744.99,j,10,,grade,school,nature or school,nature,school,1,
iat,nature | school,623.54,j,11,,exam,school,nature or school,nature,school,1,
iat,nature | school,506.04,j,12,,river,nature,nature or school,nature,school,0,
iat,nature | school,641.22,f,13,,ocean,nature,nature or school,nature,school,1,
iat,nature | school,684.05,f,14,,homework,school,nature or school,nature,school,0,
iat,nature | school,503.05,j,15,,grade,school,nature or school,nature,school,1,
iat,nature | school,501.2,f,16,,tree,nature,nature or school,nature,school,1,
iat,nature | school,633.25,j,17,,lecture,school,nature or school,nature,school,1,
iat,nature | school,423.65,j,18,,lecture,school,nature or school,nature,school,1,
iat,nature | school,669.18,j,19,,class,school,nature or school,nature,school,1,
iat,nature | school,883.9,f,20,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,737.47,f,21,,meadow,nature,nature or school,nature,school,1,
iat,nature | school,564.97,f,22,,tree,nature,nature or school,nature,school,1,
iat,nature | school,634.58,j,23,,lecture,school,nature or school,nature,school,1,
iat,nature | school,547.16,j,24,,exam,school,nature or school,nature,school,1,
iat,serenity | anxiety,682.65,f,25,,rest,serenity,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,680.99,j,26,,tension,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,514.82,j,27,,alarm,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,494.27,j,28,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,659.03,j,29,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,614.18,j,30,,panic,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,613.25,j,31,,fear,anxiety,serenity or anxiety,serenity,anxiety,1,
iat,serenity | anxiety,482.65,f,32,,breathe,serenity,serenity or anxiety,serenity,anxiety,1,
